,Topic,Feedback Comment,Contextual_Subtopic,Granular_Subtopic,Severity,Sentiment
246,Accuracy,it is not giving the exact answer on the name,General Accuracy,General Accuracy - Incorrect Name Results,Medium,Negative
247,Feature,it would be a better help if there were explanation of hadith as well or any simple interpretation cuz some of words used are hard to understand,Translations & Tafseer,Translations & Tafseer - Hadees Explanation Request,Low,Neutral
248,Other,its very good,General Other,General Other - General Feedback,Low,Positive
249,Other,j,General Other,General Other - General Issues,Low,Neutral
250,Other,janwar karas k paisy lana  guna ha kya,General Other,General Other - Ethical Concerns on Earnings,Low,Neutral
251,UI,khatati achi karen aur zabr zer pash ho,Visual Design,Visual Design - UI Improvement Request,Low,Neutral
252,Feature,need to improve the topics so that user can search the normal routine related Hadith easily,General Feature,General Feature - Hadees Search Improvement,Low,Neutral
253,Other,nice,General Other,General Other - General Issues,Low,Positive
254,Accuracy,niche bta diya kare ki zaeef hadees hai ya sahih,General Accuracy,General Accuracy - Hadees Authenticity Clarification,Medium,Neutral
255,Feature,nimaz ka tarika,General Feature,General Feature - Prayer Method Request,Low,Neutral
256,Feature,"no info about volume number, and book number to reach to specific hadees",General Feature,General Feature - Hadees Volume and Book Number Info,Low,Neutral
257,Bug,not good search,Search Functionality,Search Functionality - General Search Issues,Medium,Negative
258,Bug,"not searching Arabic
بِسمِ اللهِ الَّذِي لَا",Search Functionality,Search Functionality - Arabic Search Issues,Medium,Negative
259,Feature,offline search should be incorporated if possible,General Feature,General Feature - Offline Search Request,Low,Neutral
260,Other,online work,General Other,General Other - General Issues,Low,Neutral
261,Bug,overall good but sometimes it gives error and request to leave immediately this app,App Crash/Freeze,App Crash/Freeze - App Error and Immediate Exit,Medium,Negative
262,Feature,please add urdu translation audio of fateh muhammad Jalandhari,Translations & Tafseer,Translations & Tafseer - Urdu Audio Translation Request,Low,Neutral
263,Feature,please make hadees in any vibrante colour and give nu,Visual Design,Visual Design - Hadees Color Customization Request,Low,Neutral
264,Feature,rafadan Namaz,Prayer Times & Azan,Prayer Times & Azan - Rafadan Namaz Feature Request,Low,Neutral
265,UI,ravi and main hadees content should be different in color schema so it can be readable.,Visual Design,Visual Design - Hadees Color Schema Issues,Low,Neutral
266,Other,rehan,General Other,General Other - General Issues,Low,Neutral
267,Ads,remove ads,General Ads,General Ads - Ad Removal Request,Medium,Negative
268,Feature,"search of Hadith is difficult, sometimes we know there is a Hadith but don't know it's number r book, but couldn't find by search through words r voice",Search Functionality,Search Functionality - Hadees Search Difficulties,Medium,Negative
269,Bug,search option does not work good,Search Functionality,Search Functionality - General Search Issues,Medium,Negative
270,Feature,search should make better,General Feature,General Feature - Search Improvement Request,Low,Neutral
271,Bug,searching problem,Search Functionality,Search Functionality - General Search Issues,Medium,Negative
272,Other,shan e sahaba,General Other,General Other - Sahaba Related Content,Low,Neutral
273,Bug,something search functionality dont work properly,Search Functionality,Search Functionality - General Search Issues,Medium,Negative
274,Other,super,General Other,General Other - General Issues,Low,Positive
275,Other,superb,General Other,General Other - General Issues,Low,Positive
276,Feature,"there should be an aption at which we can write our questions
and also an option should be by which we can search for the hadeese that we want",General Feature,General Feature - Hadees Question and Search Options,Low,Neutral
277,Feature,there should be explanation or tafseer of Hadees because there are many Hadees that we normal couldn't understand without proper explanation. So Kindly add explanation or tafseer of Hadees to avoid misconceptions.,Translations & Tafseer,Translations & Tafseer - Hadees Tafseer Request,Medium,Neutral
278,Feature,there should page numbersystem,General Feature,General Feature - Page Numbering System Request,Low,Neutral
279,Other,this app is very beneficial for me alhamdulillahi rabbil aalmeen,General Other,General Other - Positive Feedback,Low,Positive
280,Other,this is Best app for knowledge,General Other,General Other - Positive Feedback,Low,Positive
281,Other,this is good apk,General Other,General Other - Positive Feedback,Low,Positive
282,Feature,too hard to find Hadith,General Feature,General Feature - Hadees Search Difficulty,Medium,Negative
283,Other,v,General Other,General Other - General Issues,Low,Neutral
284,Feature,"very Good
I am happy if you add multiple font",Quran Reading Features,Quran Reading Features - Multiple Font Request,Low,Positive
285,Other,very good app ma sha Allah,General Other,General Other - Positive Feedback,Low,Positive
286,Other,very good app,General Other,General Other - General Positive Feedback,Low,Positive
287,Feature,very good features,General Feature,General Feature - General Issues,Low,Positive
288,Other,very good work 🇵🇰 from Pakistan,General Other,General Other - Positive Feedback,Low,Positive
289,Other,very good,General Other,General Other - General Feedback,Low,Positive
290,Accuracy,very hadith wrong tarjuma,General Accuracy,General Accuracy - Hadees Translation Issues,High,Negative
291,Feature,we can't search with the page number of the book,Search Functionality,Search Functionality - Page Number Search Issue,Medium,Neutral
292,UI,when sharing any hadith its font is looking bad. please fix it.,Visual Design,Visual Design - Hadees Font Issues,Medium,Negative
293,Feature,when we share the hadees on to  social media its share just link not hadees so it will good if sharing the hadees directly instead of its link. Jazakallah,General Feature,General Feature - Hadees Sharing Improvement,Low,Neutral
294,Other,worst,General Other,General Other - General Issues,Low,Negative
295,Feature,you need add quraan recitation audio in high quality and have to change setting of quality۔,Quran Reading Features,Quran Reading Features - High Quality Audio Request,Medium,Neutral
296,Feature,you should a search bar jaha hm required topic lukhay to haidth ajaye ....search br me similar ki option me ja k Hadith likhy to b nhi ati,Search Functionality,Search Functionality - Hadees Search Not Working,Medium,Neutral
297,Other,zz,General Other,General Other - General Issues,Low,Neutral
298,Other,ɢᴏᴏᴅ,General Other,General Other - General Feedback,Low,Positive
299,Other,،good,General Other,General Other - General Feedback,Low,Positive
300,Feature,آسانی سے احادیث نہیں ملتیں,General Feature,General Feature - Hadees Search Issues,Medium,Negative
301,Feature,آپ اس ایپلیکیشن کا استعمال کرنا مزید آسان بنائیں، اور اس میں مزید قرآن و تفاسیر اور احادیث کی بکس عربی ہندی انگریزی اور بنگلہ دیشی اور انڈونی,Translations & Tafseer,Translations & Tafseer - Request for More Translations,Low,Neutral
302,Feature,آپ ساری حدیثیں لائیں ہر کتاب کی تمام مجلیداد کی ساری حدیثیں,General Feature,General Feature - Hadees Collection Request,Low,Neutral
303,Feature,آپ مهربانی کریں پوری احادیث مبارکہ کی کتاب رکھیں,General Feature,General Feature - Hadees Collection Request,Low,Neutral
304,Other,ا,General Other,General Other - General Issues,Low,Neutral
305,Feature,اج جو عربک میں ان میں اواز دے دو جو بولنے والی عربی ہے,Quran Reading Features,Quran Reading Features - Arabic Audio Feature Request,Low,Neutral
306,Accuracy,"احادیث ایسا معلوم ہوتا ہے کی بیچ میں سے شروع کی 
 ہوئ ہیں۔۔مطلب شروع کا کچھ حصہ غائب ہے",General Accuracy,General Accuracy - Missing Hadees Content,High,Negative
307,Feature,احادیث تلاش کرنے میں جملے سے تلاش ہونا چاہیے الفاظ سے بہت ساری احادیث آجاتی ہے سیکڑوں احادیث میں تلاش کرنا پڑتا ہے,Search Functionality,Search Functionality - Hadees Search Improvement,Medium,Neutral
308,Feature,احادیث شیئر کرنے کیلئے ڈیزائن آپشن آن کریں,General Feature,General Feature - Hadees Sharing Design Option Request,Low,Neutral
309,Feature,احادیث مبارکہ کی تشریح مختلف معتبر علمائے کرام کی اس میں ڈالا جائے تو بہت بہتر ہوگا انشاء اللہ تعالیٰ,Translations & Tafseer,Translations & Tafseer - Hadees Tafseer Request,Low,Neutral
310,Feature,احادیث کی تفسیر بھی ہونی چاہیے اور بالکل آسان اردو زبان میں ترجمہ ہو تاکہ کوئی عام انسان بھی انھیں آسانی سے سمجھ لیں,Translations & Tafseer,Translations & Tafseer - Hadees Translation Request,Low,Neutral
311,UI,احادیث کی سکرول بار نہیں ہے,General UI,General UI - Missing Scroll Bar for Hadees,Medium,Negative
312,Accuracy,اردو ترجمہ کہیں کہیں ٹھیک سے نہیں کیا گیا ۔ برائے مہربانی اردو ترجمہ درست لکھئے۔ مثلاً ایک حدیث ہے طائفہ منصورہ والی اور اسلام دو مسجدوں میں,General Accuracy,General Accuracy - Urdu Translation Issues,High,Negative
313,Accuracy,اردو ترجمہ کی عبارت میں بہت غلطیاں عبارت کی ہیں,General Accuracy,General Accuracy - Urdu Translation Errors,High,Negative
314,Bug,اردو عربی لکھنے میی فرق ہوتا ھے جس کی وجہ سے اردو میی لکھے ہوے الفاظ نھی اٹھاتا,Text/Font Errors,Text/Font Errors - Urdu Arabic Text Recognition Issue,Medium,Negative
